TF       IDF        TFIDF          URIS
0.00295    9.88264    0.02915    http://www.tvguide.com/news/exclusive-criminal-minds-sneak-peek-jj-theory/?ftag=twtrsoshares
0.00227    9.88264    0.02243    http://www.mirror.co.uk/news/uk-news/julian-assanges-alleged-rape-victim-7318264#ICID=sharebar_twitter
0.00213    9.88264    0.02105    http://www.occuworld.org/news/2997720
0.00186    9.88264    0.01838    http://news.thaipbs.or.th/content/250076
0.00185    9.88264    0.01828    http://www.cp24.com/news/officer-confronts-robbery-suspects-as-they-exit-gas-station-in-vaughan-1.2772521
0.00164    9.88264    0.01621    http://www.liverpoolecho.co.uk/news/liverpool-news/blind-liverpool-city-centre-busker-10872530
0.00141    9.88264    0.01393    http://www.cbc.ca/news/canada/thunder-bay/first-nations-ptsd-thunder-bay-1.3441787?cmp=rss
0.00134    9.88264    0.01324    http://www.heraldsun.com.au/news/victoria/letthemstay-protesters-on-eastern-freeway/news-story/3c97d64decd630493a0707c07afc192f
0.00081    9.88264    0.008    http://www.abc.net.au/news/2016-02-11/same-sex-parents-sa-win-right-for-both-on-birth-certificate/7157912
0.00075    9.88264    0.00741    http://www.fox23.com/news/acting-tulsa-sheriff-proposes-idea-to-make-money-from-inmate-cell-phone-calls/47960035
