tfidf      uris                          pagerank 
0.008      http://www.abc.net.au           0.8
0.01393    http://www.cbc.ca               0.8
0.02915    http://www.tvguide.com          0.7
0.02243    http://www.mirror.co.uk         0.7
0.01828    http://www.cp24.com             0.7
0.01324    http://www.heraldsun.com.au     0.7
0.01621    http://www.liverpoolecho.co.uk  0.5
0.02105    http://www.occuworld.org        0.3
0.01838    http://news.thaipbs.or.th       0.3  
0.00741    http://www.fox23.com/news       0.2 








 

     
      




