Blog	yet	week	real	heart	both	him	times	once	such	did	without	doesn	city	found	young	lot	name	track	bit	because	pretty	black	any	friends	everything	its	different	lost	why	play	high	came	red	until	three	white	enough	point	went	kind	tell	b	fun	hard	light	does	left	free	didn	set	head	sounds	bad	far	past	sometimes	put	each	together	maybe	might	dark	th	between	along	doing	early	said	thought	morning	blue	happy	pop	beautiful	used	least	quite	group	girl	sure	video	anything	change	four	single	played	summer	art	couple	john	coming	later	school	makes	give	late	record	face	though	style	ago	dance	probably	words	almost	yes	dead	sun	story	turn	wasn	fire	friend	run	fall	help	side	eyes	under	release	soul	perfect	stuff	start	room	listen	whole	remember	half	comes	hear	oh	heard	looking	records	radio	myself	favorite	actually	call	blog	getting	tracks	guitar	released	cover	line	won	already	having	playing	course	often	called	feeling	working	close	e	making	version	future	number	trying	took	someone	try	done	saw	break	hit	hand	list	sense	voice	isn	idea	la	bands	death	family	o	self	hope	shows	read	recorded	stop	felt	moment	dream	believe	cool	five	lyrics	finally	use	small	american	stay	stage	everyone	r	sort	country	st	rest	months	listening	taken	punk	anyone	deep	below	beat	must	return	experience	baby	yeah	moon	rather	sweet	during	street	project	open	true	seen	talk	either	watch	seems	gets	major	less	club	write	albums	front	artists	super	writing	become	party	across	picture	nice	gone	hours	david	anyway	classic	started	instead	note	age	fan	order	clear	wanted	check	singer	worth	musical	star	boy	bob	tour	cut	short	solo	machine	original	space	else	follow	recently	beach	hell	seem	decided	taking	knows	haven	yourself	title	miss	final	waiting	book	wrong	vocals	month	however	king	perhaps	sea	green	girls	behind	works	enjoy	god	talking	low	soon	reason	game	london	trip	hot	debut	easy	slow	wait	especially	mark	road	others	sing	ones	following	feels	special	amazing	case	local	seeing	matter	guys	previous	leave	move	history	mix	including	artist	mean	complete	couldn	singing	able	itself	guy	heavy	weekend	recent	cold	attention	reading	audience	blood	wish	several	drive	fact	bring	certainly	important	simple	wouldn	straight	alone	power	word	definitely	please	lead	needed	saying	turned	stars	bass	label	goes	link	near	com	rain	mostly	written	form	shit	themselves	minutes	studio	inside	guess	means	air	ready	based	simply	boys	although	given	outside	known	material	walk	sad	blues	indie	james	whatever	exactly	die	living	earlier	energy	york	kids	door	scene	l	born	lives	men	deal	interesting	n	electric	job	liked	town	mr	happen	forever	against	dreams	hold	etc	told	x	ride	piece	running	sleep	wild	minute	huge	wave	third	personal	wonder	u	entire	somewhere	december	himself	pink	sunday	spent	forward	due	example	gold	person	car	takes	hands	weeks	modern	mine	fans	watching	wall	knew	review	upon	paul	eventually	state	above	looks	longer	water	c	sky	west	places	thanks	non	fantastic	performance	needs	despite	g	opening	theme	de	ep	touch	moved	broken	national	ten	series	worked	brilliant
Flatbasset	14	38	7	3	13	22	1	3	1	7	2	12	5	7	22	10	1	13	11	4	6	2	9	6	11	13	2	6	2	7	13	3	1	1	12	3	3	6	2	3	4	6	2	4	3	7	5	18	5	4	8	3	9	4	1	0	15	9	12	1	0	11	15	6	3	6	6	3	3	1	0	1	24	2	0	1	6	2	2	24	3	5	1	2	3	16	8	3	10	2	5	2	2	10	51	4	7	2	8	4	1	2	6	1	6	1	4	3	3	3	2	2	4	0	2	1	17	1	6	5	2	3	7	1	0	17	3	3	11	7	7	4	2	5	6	126	1	8	3	1	6	7	6	5	3	10	3	6	2	0	5	4	0	5	0	2	3	1	4	4	7	3	4	1	0	4	4	1	3	2	3	2	2	1	3	1	4	6	10	1	9	4	4	4	2	2	21	4	4	1	3	1	0	2	2	3	1	3	3	1	2	2	2	2	5	0	2	4	5	11	0	1	18	5	0	3	3	2	4	5	6	5	0	3	3	1	1	1	3	1	0	6	3	2	4	2	4	35	2	3	2	9	2	4	1	1	4	1	0	3	8	5	3	1	2	2	2	0	2	0	10	4	3	0	2	2	2	1	1	1	3	3	0	2	5	30	0	0	5	6	3	3	3	3	6	5	0	1	2	0	1	2	12	15	2	2	0	0	1	4	3	8	10	3	4	2	4	2	0	4	3	8	1	3	1	2	2	1	0	1	0	2	6	3	0	1	17	0	1	3	25	0	3	2	18	1	2	1	1	0	2	3	2	0	2	4	0	5	2	2	1	5	3	0	7	6	0	4	2	3	2	4	1	7	2	7	4	3	0	0	2	3	3	4	1	3	2	0	0	0	1	1	2	3	3	0	1	1	8	1	5	0	3	5	0	5	2	0	0	2	0	3	7	0	3	2	1	0	0	2	1	1	3	5	2	0	0	2	4	0	2	0	1	0	4	3	1	2	1	1	6	0	2	0	1	0	3	2	1	1	2	0	3	4	1	1	1	0	1	1	1	2	1	4	1	3	2	0	1	2	2	0	1	0	14	0	2	0	1	2	8	3	1	3	0	1	1	0	1	6	0	10	2	2	0	1	1	0	4	0	3	21	0	0	0	1	2	1	0	3
Riley Haas' blog	6	0	1	2	9	5	9	7	3	12	4	9	3	3	6	9	3	6	5	17	8	1	10	1	5	12	5	1	16	3	0	2	0	0	5	1	6	4	0	18	2	2	0	14	2	9	3	1	14	2	0	8	6	6	0	4	0	0	3	6	9	0	9	2	2	5	1	5	3	0	0	2	1	0	3	17	3	0	2	3	0	4	2	7	0	5	2	0	1	1	1	4	2	7	2	0	12	0	24	5	5	1	6	0	6	1	5	0	8	1	5	0	0	1	1	2	2	1	1	4	2	0	11	2	0	2	5	5	5	3	8	4	9	1	2	0	2	0	1	1	1	3	1	0	1	0	2	6	2	1	2	1	3	1	0	0	0	3	1	3	0	5	7	1	3	3	1	2	1	1	2	0	4	1	6	7	0	3	1	3	0	2	1	1	9	2	1	0	1	2	4	1	3	11	1	0	0	5	1	2	5	2	5	4	1	1	0	2	0	3	4	1	0	0	2	0	2	0	1	0	7	0	1	0	0	0	3	4	0	5	3	5	2	7	5	0	4	1	0	0	1	6	1	0	0	0	2	1	1	0	9	7	0	2	4	3	5	2	2	1	1	1	4	0	6	1	0	0	3	2	0	0	0	0	8	2	0	1	3	1	0	1	3	3	0	1	0	7	0	2	3	2	0	4	0	9	0	1	3	0	2	2	0	1	0	1	6	4	0	0	0	1	1	2	1	0	1	0	3	0	0	1	8	1	0	3	0	1	1	1	0	0	1	5	0	1	2	2	1	0	2	2	5	1	0	0	0	1	1	1	0	0	0	0	2	3	0	9	3	0	4	0	0	0	0	1	0	1	0	2	0	1	0	2	2	0	2	1	0	2	1	0	3	0	8	0	0	15	4	1	0	4	1	6	0	5	1	2	5	0	1	6	1	1	4	0	3	0	5	0	0	4	0	1	1	0	2	2	0	1	0	0	2	1	0	1	1	0	1	1	1	1	0	0	0	2	0	0	0	0	2	1	10	1	1	0	2	0	0	1	0	0	0	0	0	2	2	2	0	6	0	0	4	0	1	5	0	0	4	1	0	0	0	0	1	1	1	1	0	2	1	1	3	0	1	0	3	6	2	0	0	1	0	2	0	0	0	3	0	0
(Insert World Problem Here) Sucks.	0	0	0	0	0	0	0	0	1	2	1	2	0	0	2	0	0	0	1	3	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	3	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	2	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	3	0	1	0	0	0	0	1	1	0	0	0	0	5	0	0	0	0	1	1	3	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	7	0	0	0	0	0	1	1	2	0	0	0	0	1	0	0	1	1	1	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SEM REGRAS	0	0	0	7	0	0	0	0	0	0	0	0	4	0	1	0	0	0	0	0	1	12	0	0	0	0	0	4	1	0	0	0	1	0	0	4	0	0	0	1	0	1	0	0	1	0	1	0	0	0	1	0	3	1	0	0	0	1	0	0	0	4	0	0	0	0	0	1	0	2	4	0	3	1	0	0	0	0	3	0	0	0	1	2	0	0	0	0	0	0	1	0	7	0	0	0	0	1	0	0	0	14	0	3	0	0	13	0	2	1	0	2	1	4	4	0	1	1	0	0	3	0	0	0	0	0	0	3	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	1	2	0	0	0	0	0	0	0	1	0	0	25	0	0	1	0	0	0	2	0	0	1	0	2	3	0	0	0	1	0	5	0	8	1	4	1	0	0	0	0	0	1	0	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	0	0	1	0	5	0	4	0	0	4	0	1	1	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	2	1	0	2	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	3	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	1	0	0	0	0	3	0	0	0	1	1	0	0	0	0	0	0	1	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	4	1	0	0	0	1	0	0	0	0	0	1	0	1	0	4	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	26	0	0	1	0	0	0	1	0	0	1	0	0	3	3	0	0	1	0	0	3	1	0	0	0	0	0	1	6	4	1	0	0	0	2	3	0	0	0	1	0	2	0	5	0	0	0	0	3	0	0	0	1	0	0	2	0	0	0	1	0	0	0	0	2	0	0	0	0	0	1	0	0	1	0	0	5	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	6	0	0	2	0	2	0	3	0	0	0	0	0
Pithy Title Here	12	8	26	2	12	10	13	15	12	32	15	23	18	10	2	36	16	27	26	57	29	9	50	11	26	33	15	9	19	10	22	14	4	13	31	19	27	21	12	27	17	5	27	12	7	32	6	7	22	27	11	19	43	14	11	7	37	11	24	26	41	9	7	9	12	26	9	44	12	7	2	11	33	4	19	30	8	7	9	39	7	24	17	5	4	6	12	2	7	2	6	9	5	22	14	6	9	7	48	12	16	9	35	4	19	14	4	1	6	16	12	12	13	30	10	14	15	2	16	4	0	18	22	27	8	18	13	7	13	13	25	16	17	10	1	5	17	10	25	21	10	27	11	13	0	15	26	11	12	10	7	7	12	8	12	4	9	3	30	3	1	6	15	8	24	15	21	12	4	26	8	21	8	9	25	7	1	15	5	9	5	2	17	7	8	3	14	9	25	0	9	14	13	17	6	10	6	14	6	10	20	0	10	21	1	8	7	15	2	2	9	5	5	9	9	1	6	2	15	1	13	0	1	7	0	4	14	11	9	9	12	16	18	16	10	4	8	25	8	8	4	3	9	6	4	2	11	5	4	1	3	8	23	26	7	3	12	1	11	10	3	7	13	5	3	4	8	2	7	7	0	9	5	4	12	5	2	1	15	10	2	13	10	10	10	10	3	5	3	1	13	4	4	5	1	7	4	11	10	6	3	13	10	8	4	6	14	15	4	14	2	4	23	4	5	5	2	11	13	9	5	3	7	1	21	10	20	10	8	12	4	9	3	7	26	5	3	18	6	3	3	9	7	14	5	8	3	3	8	4	2	5	8	9	13	18	7	7	2	14	10	7	3	3	5	6	13	5	6	17	3	3	2	0	12	2	4	0	3	1	2	4	2	7	23	3	5	4	16	4	3	4	20	3	0	8	4	3	5	20	8	3	8	1	18	6	5	7	3	4	11	10	5	3	0	0	5	0	7	4	1	3	5	0	10	0	13	1	4	0	5	2	7	2	4	3	15	1	1	4	9	2	3	2	2	1	4	4	2	5	0	2	4	6	6	7	2	20	21	4	12	5	8	4	15	9	2	5	1	8	0	0	4	3	3	6	15	0	3	11	12	1	2	5	4	7	4	0	6	9	0	3	3	5	2	15	0	2	2	1
Morgan's Blog	3	0	2	1	5	6	0	1	4	4	1	2	1	0	11	1	1	2	4	0	0	0	3	2	0	1	4	0	7	1	2	1	4	0	8	1	6	6	0	2	1	1	2	3	1	3	1	1	1	2	2	1	0	2	6	0	2	15	3	1	0	2	1	1	3	4	1	0	1	1	1	1	0	2	0	3	2	4	1	2	0	0	1	2	1	2	3	3	1	0	0	1	3	2	3	2	0	1	1	0	1	3	0	2	2	5	0	2	4	4	0	0	0	2	0	0	0	3	0	1	2	5	0	1	1	2	3	1	5	3	1	0	0	1	0	0	2	1	1	4	0	5	3	2	0	0	1	0	0	1	0	2	3	0	2	2	0	0	2	2	2	1	1	1	3	0	1	2	0	1	3	2	0	0	0	1	0	0	3	1	0	5	2	1	0	0	2	0	5	1	0	1	2	0	1	1	1	1	0	2	0	0	0	1	0	3	0	0	1	0	1	3	0	0	4	0	3	1	0	1	4	2	1	2	0	1	1	1	0	2	0	3	0	0	1	0	1	0	1	2	0	1	0	6	1	0	1	0	1	2	0	3	0	3	1	5	1	0	1	0	0	0	0	1	1	0	0	4	0	1	1	1	0	1	2	1	0	0	0	1	0	4	2	0	5	0	0	0	1	2	1	0	1	3	0	5	0	1	0	1	1	0	0	0	0	0	0	2	0	2	1	0	1	2	0	1	1	1	1	2	0	0	1	2	3	2	3	0	0	0	0	0	2	2	0	2	1	2	2	0	0	0	0	5	0	3	0	0	4	0	1	0	2	3	0	1	0	3	0	1	0	0	1	1	0	0	1	2	0	2	0	1	0	0	1	0	0	0	5	1	0	1	4	2	1	0	1	0	2	0	0	1	1	0	2	1	0	0	1	0	0	0	0	1	0	1	0	2	0	2	0	6	3	0	0	3	1	3	0	1	0	1	1	0	1	0	0	3	0	0	1	0	0	0	0	1	1	0	2	3	0	0	1	0	2	0	0	0	0	2	0	0	3	2	2	0	2	5	0	0	0	0	0	2	1	3	0	0	0	3	0	0	0	0	0	1	3	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1
MARISOL	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	1	0	0	0	0
THE HUB	2	4	0	0	0	0	1	0	2	1	0	0	0	0	1	2	2	0	0	1	0	0	3	1	0	0	1	0	1	0	2	1	1	0	0	2	3	3	0	0	0	0	5	0	0	0	1	2	0	0	1	0	0	0	1	0	1	2	2	0	0	0	3	0	1	0	0	1	0	0	0	3	2	0	3	0	0	0	0	1	0	0	3	1	0	0	1	0	0	2	0	0	1	0	0	2	0	0	2	10	1	0	0	0	0	2	2	0	2	0	0	1	0	1	0	0	0	1	0	0	1	3	0	1	0	0	0	1	1	0	0	0	3	1	0	28	0	1	1	0	0	1	1	0	0	0	2	0	0	0	0	0	1	1	0	0	0	0	0	0	1	1	0	0	0	1	1	1	0	0	0	0	3	0	0	1	0	0	0	6	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	2	0	1	0	1	0	0	1	2	0	3	0	1	0	0	7	0	0	2	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	3	0	0	0	0	1	0	0	4	0	0	0	0	0	1	0	1	0	0	0	0	0	0	3	1	0	0	0	0	0	0	1	2	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	2	1	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	3	0	0	0	0	0	1	0	1	2	1	0	0	1	0	0	2	0	0	1	1	0	0	0	0	0	1	1	0	0	0	0	1	1	0	1	0	1	0	0	0	0	1	0	5	0	0	0	0	0	0	0	1	1	0	0	0	0	0	4	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0	1	0	0	0	1	1	0	0	0	0	0	1	0	0	1	2	0	0	0	0	4	1	0	0	0	0
Brian's Music Blog!!!	0	11	6	1	2	3	6	0	3	5	2	0	3	1	6	10	1	6	2	3	10	6	2	1	0	1	2	1	8	1	3	0	1	0	2	2	1	1	1	4	3	2	7	4	1	5	3	1	1	1	2	1	4	3	3	5	1	6	3	3	1	2	1	1	0	4	2	1	2	1	1	0	12	1	0	1	1	2	3	2	3	3	3	3	1	0	2	3	1	0	1	2	0	0	2	1	1	1	1	2	1	5	2	1	2	2	0	1	0	0	1	6	0	3	1	1	1	0	3	2	3	1	3	1	1	8	1	2	0	5	1	4	3	1	5	2	3	34	2	1	4	3	3	2	2	2	2	2	1	0	0	0	0	2	0	1	1	3	2	2	0	1	0	2	2	0	1	0	0	0	0	11	1	5	1	1	6	6	2	1	3	0	5	1	0	0	0	0	0	0	3	2	2	3	2	0	1	1	0	0	1	2	0	2	1	0	0	2	0	6	0	1	4	2	1	2	1	0	2	2	0	1	1	1	5	4	4	0	1	3	1	0	2	2	1	0	1	15	0	3	4	1	0	4	1	1	8	2	0	0	2	2	0	1	1	0	1	3	0	0	6	5	2	2	3	1	2	0	1	4	0	5	1	1	0	1	3	0	2	1	0	1	4	0	0	0	0	0	0	2	0	3	0	2	2	0	1	2	1	0	0	7	0	0	1	1	0	0	0	0	1	0	0	2	1	0	2	0	0	0	1	4	0	0	0	4	0	0	0	0	0	1	1	0	17	0	3	2	0	0	0	0	1	0	3	0	0	1	0	1	0	4	1	1	0	0	2	0	0	3	0	3	0	0	0	3	2	0	1	0	1	0	0	2	0	6	0	9	6	0	1	0	0	1	1	0	2	1	1	0	1	2	0	0	1	0	1	0	0	0	0	1	8	0	2	1	2	0	1	0	3	0	1	0	0	1	0	1	0	1	3	1	0	2	0	0	1	3	6	0	4	2	0	1	2	1	1	0	1	2	0	0	1	3	1	1	0	0	0	0	2	0	0	3	0	3	1	3	0	3	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	1	3	4	0	1	3	3	1	0	0	1	1	0	1	0	0	0	0	4	0	0	0	0
Web Science and Digital Libraries Research Group	6	3	4	0	14	4	8	6	61	15	9	4	4	26	1	2	18	8	3	21	3	2	32	5	4	27	41	2	9	2	10	4	3	6	36	6	5	8	9	2	3	4	7	9	10	18	9	9	2	16	4	0	3	3	9	3	3	40	8	2	9	4	6	24	11	4	9	21	5	5	0	0	0	14	50	4	3	20	1	2	8	1	10	7	22	0	3	3	4	3	0	10	7	10	8	1	10	2	1	5	5	2	8	8	8	2	0	7	10	0	0	0	1	5	12	16	1	0	8	3	0	1	4	9	7	1	3	1	1	3	4	0	1	8	3	0	3	2	4	5	5	3	1	0	7	3	26	3	7	2	1	6	3	11	1	13	4	34	7	12	15	24	3	14	4	8	7	2	13	0	0	8	0	0	2	3	1	0	0	6	1	4	0	22	5	3	0	2	1	0	1	3	8	0	8	53	11	0	1	1	7	10	2	2	2	3	4	0	3	0	2	1	15	0	13	2	12	1	0	1	4	1	22	1	49	26	4	4	40	4	4	0	0	3	8	1	1	0	1	1	0	2	7	0	11	4	7	0	10	7	0	0	27	9	6	3	0	11	2	7	8	1	2	0	0	0	0	2	0	16	0	7	12	11	2	5	6	1	0	1	3	4	0	0	4	7	2	5	1	7	2	0	4	15	1	1	0	6	6	1	14	2	1	7	1	1	1	0	1	13	1	0	12	2	0	5	4	1	14	0	1	26	0	9	15	17	7	0	2	0	8	10	2	6	0	18	1	3	10	4	0	9	5	1	1	0	11	1	1	3	18	0	1	10	0	3	2	0	14	10	0	1	2	0	5	0	0	11	4	0	0	0	0	0	5	12	3	60	1	4	5	3	0	6	1	0	4	9	8	0	3	48	2	0	14	17	1	8	4	1	0	0	0	1	0	0	2	0	2	2	2	7	0	1	13	4	2	3	2	9	2	1	7	3	0	0	1	0	1	0	1	13	2	10	0	3	1	0	1	5	0	0	8	8	0	5	5	1	7	3	0	0	5	11	6	44	1	4	2	3	0	4	0	2	0	1	0	1	7	1	0	1	12	17	3	8	3	10	3	0	5	5	7	1	1	11	0	22	6	0	13	0	1	2	2	13	3	8	5	0
